Raw_Type,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,dlllist_ndlls,dlllist_avg_dlls_per_proc,handles_nhandles,handles_avg_handles_per_proc,handles_nport,handles_nfile,handles_nevent,handles_ndesktop,handles_nkey,handles_nthread,handles_ndirectory,handles_nsemaphore,handles_ntimer,handles_nsection,handles_nmutant,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_not_in_load_avg,ldrmodules_not_in_init_avg,ldrmodules_not_in_mem_avg,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,modules_nmodules,svcscan_nservices,svcscan_kernel_drivers,svcscan_fs_drivers,callbacks_ncallbacks,SubType,Label
Benign,33,12,14.4848484848485,0,1596,53.2,9892,299.757575757576,0,768,3276,37,836,903,87,669,126,328,339,52,82,52,0.0318822808093194,0.0502759043531576,0.0318822808093194,11,60,11,5,134,847,461,60,148,Benign,Benign
Benign,65,18,16.7538461538462,0,3717,66.375,30496,544.571428571429,0,1508,9596,57,2778,1620,165,1607,172,932,652,123,180,123,0.0468928707586733,0.0686237133053755,0.0468928707586733,10,2116,10,2,149,1120,565,76,135,Benign,Benign
Ransomware-Conti,37,13,14.0810810810811,0,2040,58.2857142857143,12534,348.166666666667,0,836,4232,40,1028,1129,107,887,151,471,442,154,189,154,0.0710332103321033,0.0871771217712177,0.0710332103321033,12,62,12,6,135,873,481,62,116,Ransomware,Malware
Ransomware-Conti,81,17,14.3333333333333,0,4747,67.8142857142857,37940,542,0,1457,10343,74,3130,1774,212,1899,424,1152,754,376,455,376,0.08068669527897,0.0976394849785408,0.08068669527897,15,1857,14,4,155,1343,723,80,154,Ransomware,Malware
Benign,40,16,11.975,0,2032,53.4736842105263,11845,303.717948717949,0,936,3918,44,1012,980,111,827,147,440,431,144,182,144,0.0672268907563025,0.0849673202614379,0.0672268907563025,12,61,12,6,134,849,469,56,133,Benign,Benign
Benign,49,17,13.734693877551,0,2835,67.5,23323,518.288888888889,0,1359,7239,47,2079,938,135,1226,127,677,469,355,400,355,0.140649762282092,0.158478605388273,0.140649762282092,4,527,4,2,148,1214,610,81,135,Benign,Benign
Benign,58,16,12.7586206896552,0,3694,72.4313725490196,28209,542.480769230769,0,1481,7736,54,2362,1013,167,1471,192,677,609,270,322,270,0.0707732634338139,0.0844036697247707,0.0707732634338139,9,1852,9,3,157,1320,693,82,155,Benign,Benign
Ransomware-Lockbit,35,12,5348.4,0,1580,52.6666666666667,9208,297.032258064516,0,763,3049,36,785,717,94,594,112,348,311,96,120,96,0.0583586626139818,0.0729483282674772,0.0583586626139818,10,43,10,5,133,830,459,58,146,Ransomware,Malware
Ransomware-Lockbit,55,18,13.5090909090909,0,2923,66.4318181818182,23697,504.191489361702,0,1219,7260,49,1976,965,147,1295,136,847,550,320,365,320,0.121258052292535,0.138309965896173,0.121258052292535,4,4,4,1,147,1208,609,83,128,Ransomware,Malware
Ransomware-Lockbit,58,18,74051172.3965517,0,3112,69.1555555555556,24470,520.63829787234,0,1223,6709,50,1887,849,155,1287,178,617,422,386,483,386,0.122036041732532,0.15270312993993,0.122036041732532,2,6,2,1,156,1297,685,78,152,Ransomware,Malware
